BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,1.5337861511576855E8
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,70873.97420677428
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,619945.9025348105
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,65831.89816215799
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,6927458.499756034
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,149520.63300770827
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,36926.428023560315
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,42023.15587894395
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,951666.9709988798
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,670442.8171470184
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,1.5327051796299092E7
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,0.0
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,426310.6438122073
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,4223218.96736051
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,3.2370437382694915E7
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,1.6932039693171993E7
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,1.0464204247512215E9
Temperate Conifer Forests,5.0,CHN,China,6437685.110401948
Montane Grasslands & Shrublands,10.0,CHN,China,5.9315911845169134E7
Deserts & Xeric Shrublands,13.0,CHN,China,4285949.769224927
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,6.855892016109385E7
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,1.1146394262744258E8
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,131848.42963372509
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,3.2631201303063337E7
Temperate Conifer Forests,5.0,JPN,Japan,844236.4900313602
