BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,1.7370805672972286E8
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,6910047.45697532
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,5.203346165962436E7
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,657452.9130249193
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,4394678.755695849
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,78085.75974246519
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,50770.17899876073
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,40294.781810346256
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,1745590.9111376929
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,789938.8389037066
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,1.3523088618711405E7
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,235742.630832605
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,615661.4659170759
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,133200.4306240164
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,2.0325107704698518E8
Temperate Conifer Forests,5.0,CHN,China,5.6549752260196686E7
Montane Grasslands & Shrublands,10.0,CHN,China,3.9021639574088925E8
Deserts & Xeric Shrublands,13.0,CHN,China,7871159.277115365
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,1.1295712861337765E8
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,1.6651269356715882E8
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,0.0
Temperate Broadleaf & Mixed Forests,4.0,JPN,Japan,0.0
Temperate Conifer Forests,5.0,JPN,Japan,0.0
Deserts & Xeric Shrublands,13.0,MNG,Mongolia,7013826.5223071
Temperate Conifer Forests,5.0,MNG,Mongolia,3.5957782941512905E7
"Temperate Grasslands, Savannas & Shrublands",8.0,MNG,Mongolia,1.615771409081668E8
Montane Grasslands & Shrublands,10.0,MNG,Mongolia,2.9949442928463988E7
"Mediterranean Forests, Woodlands & Scrub",12.0,CYP,Cyprus,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,LBN,Lebanon,0.0
Deserts & Xeric Shrublands,13.0,KWT,Kuwait,0.0
Deserts & Xeric Shrublands,13.0,BHR,Bahrain,0.0
Deserts & Xeric Shrublands,13.0,QAT,Qatar,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ARE,United Arab Emirates,0.0
Deserts & Xeric Shrublands,13.0,ARE,United Arab Emirates,0.0
Temperate Broadleaf & Mixed Forests,4.0,ARM,Armenia,871055.696164503
"Temperate Grasslands, Savannas & Shrublands",8.0,ARM,Armenia,814687.0779343873
Deserts & Xeric Shrublands,13.0,ARM,Armenia,0.0
Temperate Broadleaf & Mixed Forests,4.0,AZE,Azerbaijan,2771144.1438586097
"Temperate Grasslands, Savannas & Shrublands",8.0,AZE,Azerbaijan,623631.8716949186
Deserts & Xeric Shrublands,13.0,AZE,Azerbaijan,344163.4031184907
Temperate Broadleaf & Mixed Forests,4.0,GEO,Georgia,6546512.100947799
"Temperate Grasslands, Savannas & Shrublands",8.0,GEO,Georgia,255078.25096670605
Deserts & Xeric Shrublands,13.0,GEO,Georgia,63504.163778328584
Deserts & Xeric Shrublands,13.0,ISR,Israel,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,ISR,Israel,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,ISR,Israel,0.0
Temperate Broadleaf & Mixed Forests,4.0,IRQ,Iraq,339030.2664076412
"Temperate Grasslands, Savannas & Shrublands",8.0,IRQ,Iraq,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,IRQ,Iraq,0.0
Deserts & Xeric Shrublands,13.0,IRQ,Iraq,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,JOR,Jordan,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,JOR,Jordan,37998.41156978888
Deserts & Xeric Shrublands,13.0,JOR,Jordan,805.2425907968611
"Temperate Grasslands, Savannas & Shrublands",8.0,KGZ,Kyrgyzstan,1.6108445673802309E7
Montane Grasslands & Shrublands,10.0,KGZ,Kyrgyzstan,1.3284755917105744E7
Temperate Conifer Forests,5.0,KGZ,Kyrgyzstan,1698649.502888568
Deserts & Xeric Shrublands,13.0,KGZ,Kyrgyzstan,2250.9801276740577
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,OMN,Oman,4020.626478467914
Deserts & Xeric Shrublands,13.0,OMN,Oman,664.9558298530935
"Temperate Grasslands, Savannas & Shrublands",8.0,OMN,Oman,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,PSE,Palestina,0.0
Deserts & Xeric Shrublands,13.0,PSE,Palestina,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,SAU,Saudi Arabia,0.0
Deserts & Xeric Shrublands,13.0,SAU,Saudi Arabia,0.0
"Mediterranean Forests, Woodlands & Scrub",12.0,SAU,Saudi Arabia,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,SYR,Syria,11405.647881687188
"Mediterranean Forests, Woodlands & Scrub",12.0,SYR,Syria,450349.3075207712
Deserts & Xeric Shrublands,13.0,SYR,Syria,425.78579377941765
Temperate Broadleaf & Mixed Forests,4.0,TUR,Turkey,2.0313006165629882E7
Temperate Conifer Forests,5.0,TUR,Turkey,3698668.120281019
"Temperate Grasslands, Savannas & Shrublands",8.0,TUR,Turkey,6980982.540827556
"Mediterranean Forests, Woodlands & Scrub",12.0,TUR,Turkey,2310429.6903431914
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,YEM,Yemen,4759040.665067172
Deserts & Xeric Shrublands,13.0,YEM,Yemen,1717666.5240450287
Tropical & Subtropical Moist Broadleaf Forests,1.0,IOT,British Indian Ocean Territory,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MDV,Maldives,0.0
Montane Grasslands & Shrublands,10.0,AFG,Afghanistan,1.3145019110918052E7
Deserts & Xeric Shrublands,13.0,AFG,Afghanistan,3309750.103178907
Temperate Conifer Forests,5.0,AFG,Afghanistan,2479090.135246324
"Temperate Grasslands, Savannas & Shrublands",8.0,AFG,Afghanistan,1194705.0528460448
Tropical & Subtropical Moist Broadleaf Forests,1.0,BGD,Bangladesh,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BGD,Bangladesh,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,BTN,Bhutan,0.0
Tropical & Subtropical Coniferous Forests,3.0,BTN,Bhutan,0.0
Temperate Broadleaf & Mixed Forests,4.0,BTN,Bhutan,0.0
Temperate Conifer Forests,5.0,BTN,Bhutan,20963.05131310517
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,BTN,Bhutan,0.0
Montane Grasslands & Shrublands,10.0,BTN,Bhutan,446412.4381996989
Tropical & Subtropical Moist Broadleaf Forests,1.0,IND,India,504192.9728908691
Tropical & Subtropical Dry Broadleaf Forests,2.0,IND,India,33412.56582001855
Deserts & Xeric Shrublands,13.0,IND,India,9172.11943423853
Tropical & Subtropical Coniferous Forests,3.0,IND,India,345194.62032209296
Temperate Broadleaf & Mixed Forests,4.0,IND,India,1498207.5203053867
Temperate Conifer Forests,5.0,IND,India,250877.2940803897
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,IND,India,0.0
