BIOME_NAME,BIOME_NUM,ISO3,COUNTRY,sum
"Temperate Grasslands, Savannas & Shrublands",8.0,ATF,French Southern Territories,0.0
"Temperate Grasslands, Savannas & Shrublands",8.0,KAZ,Kazakhstan,4.71553680069433E7
Montane Grasslands & Shrublands,10.0,KAZ,Kazakhstan,2082361.2682035223
Deserts & Xeric Shrublands,13.0,KAZ,Kazakhstan,6.95554881693001E7
Temperate Conifer Forests,5.0,KAZ,Kazakhstan,191857.8495679415
"Temperate Grasslands, Savannas & Shrublands",8.0,TJK,Tajikistan,1093018.5961621248
Montane Grasslands & Shrublands,10.0,TJK,Tajikistan,18178.266002573557
Deserts & Xeric Shrublands,13.0,TJK,Tajikistan,45241.211196421544
"Temperate Grasslands, Savannas & Shrublands",8.0,TKM,Turkmenistan,19197.584200171525
Montane Grasslands & Shrublands,10.0,TKM,Turkmenistan,617109.8686522057
Deserts & Xeric Shrublands,13.0,TKM,Turkmenistan,1874775.2073244834
"Temperate Grasslands, Savannas & Shrublands",8.0,UZB,Uzbekistan,3848110.0644308086
Montane Grasslands & Shrublands,10.0,UZB,Uzbekistan,57134.54704921556
Deserts & Xeric Shrublands,13.0,UZB,Uzbekistan,1659815.7253645249
Tropical & Subtropical Moist Broadleaf Forests,1.0,HKG,Hong Kong,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,MAC,Macao,0.0
Tropical & Subtropical Moist Broadleaf Forests,1.0,TWN,Taiwan,8834.400625000004
Temperate Broadleaf & Mixed Forests,4.0,PRK,North Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,KOR,South Korea,0.0
Temperate Broadleaf & Mixed Forests,4.0,CHN,China,2.4211174920567654E7
Temperate Conifer Forests,5.0,CHN,China,1.1047556747880762E7
Montane Grasslands & Shrublands,10.0,CHN,China,8.399495107613286E7
Deserts & Xeric Shrublands,13.0,CHN,China,9808815.421462648
Tropical & Subtropical Moist Broadleaf Forests,1.0,CHN,China,1.0990264745275844E7
"Temperate Grasslands, Savannas & Shrublands",8.0,CHN,China,3.85964321332531E7
Tropical & Subtropical Moist Broadleaf Forests,1.0,JPN,Japan,0.0
