ISO3,COUNTRY,BIOME_NAME,BIOME_NUM,sum
ATF,French Southern Territories,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
KAZ,Kazakhstan,"Temperate Grasslands, Savannas & Shrublands",8.0,3.9888417300202985E11
KAZ,Kazakhstan,Montane Grasslands & Shrublands,10.0,1.710543943717755E10
KAZ,Kazakhstan,Deserts & Xeric Shrublands,13.0,1.2700925079953496E12
KAZ,Kazakhstan,Temperate Conifer Forests,5.0,1.2418286956619022E9
TJK,Tajikistan,"Temperate Grasslands, Savannas & Shrublands",8.0,1.3485275390416822E10
TJK,Tajikistan,Montane Grasslands & Shrublands,10.0,1.735258023689068E8
TJK,Tajikistan,Deserts & Xeric Shrublands,13.0,1.7047976923347423E9
TKM,Turkmenistan,"Temperate Grasslands, Savannas & Shrublands",8.0,2.8875042499173636E9
TKM,Turkmenistan,Montane Grasslands & Shrublands,10.0,2.188176139472156E10
TKM,Turkmenistan,Deserts & Xeric Shrublands,13.0,2.146912948242071E11
UZB,Uzbekistan,"Temperate Grasslands, Savannas & Shrublands",8.0,4.8002718334614815E10
UZB,Uzbekistan,Montane Grasslands & Shrublands,10.0,6.121255901509836E8
UZB,Uzbekistan,Deserts & Xeric Shrublands,13.0,1.2630606360579312E11
HKG,Hong Kong,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
MAC,Macao,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
TWN,Taiwan,Tropical & Subtropical Moist Broadleaf Forests,1.0,4.292491455078125E7
PRK,North Korea,Temperate Broadleaf & Mixed Forests,4.0,0.0
KOR,South Korea,Temperate Broadleaf & Mixed Forests,4.0,0.0
CHN,China,Temperate Broadleaf & Mixed Forests,4.0,1.7991952340544067E11
CHN,China,Temperate Conifer Forests,5.0,1.1927764680601796E11
CHN,China,Montane Grasslands & Shrublands,10.0,9.411560824458507E11
CHN,China,Deserts & Xeric Shrublands,13.0,2.1875311168048294E11
CHN,China,Tropical & Subtropical Moist Broadleaf Forests,1.0,9.754231076342265E10
CHN,China,"Temperate Grasslands, Savannas & Shrublands",8.0,3.879760089904481E11
JPN,Japan,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
JPN,Japan,Temperate Broadleaf & Mixed Forests,4.0,0.0
JPN,Japan,Temperate Conifer Forests,5.0,0.0
MNG,Mongolia,Deserts & Xeric Shrublands,13.0,2.6853490869459308E11
MNG,Mongolia,Temperate Conifer Forests,5.0,7.61611774248052E10
MNG,Mongolia,"Temperate Grasslands, Savannas & Shrublands",8.0,4.3173658439521405E11
MNG,Mongolia,Montane Grasslands & Shrublands,10.0,6.177952709537826E10
CYP,Cyprus,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
LBN,Lebanon,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
KWT,Kuwait,Deserts & Xeric Shrublands,13.0,5.781198386777021E8
BHR,Bahrain,Deserts & Xeric Shrublands,13.0,0.0
QAT,Qatar,Deserts & Xeric Shrublands,13.0,2.7756034178765965E8
ARE,United Arab Emirates,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
ARE,United Arab Emirates,Deserts & Xeric Shrublands,13.0,5.509735069935496E8
ARM,Armenia,Temperate Broadleaf & Mixed Forests,4.0,7.287877601231308E8
ARM,Armenia,"Temperate Grasslands, Savannas & Shrublands",8.0,1.3739074865892231E9
ARM,Armenia,Deserts & Xeric Shrublands,13.0,0.0
AZE,Azerbaijan,Temperate Broadleaf & Mixed Forests,4.0,2.6138522544927764E9
AZE,Azerbaijan,"Temperate Grasslands, Savannas & Shrublands",8.0,1.8886772824422057E9
AZE,Azerbaijan,Deserts & Xeric Shrublands,13.0,3.8032845803285036E9
GEO,Georgia,Temperate Broadleaf & Mixed Forests,4.0,6.763936826496733E9
GEO,Georgia,"Temperate Grasslands, Savannas & Shrublands",8.0,2.431628934095959E8
GEO,Georgia,Deserts & Xeric Shrublands,13.0,6.759837647186791E8
ISR,Israel,Deserts & Xeric Shrublands,13.0,4.449714431485224E8
ISR,Israel,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
ISR,Israel,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
IRQ,Iraq,Temperate Broadleaf & Mixed Forests,4.0,6.598072481731168E8
IRQ,Iraq,"Temperate Grasslands, Savannas & Shrublands",8.0,2.3098324121879463E9
IRQ,Iraq,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
IRQ,Iraq,Deserts & Xeric Shrublands,13.0,8.455887041432036E9
JOR,Jordan,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
JOR,Jordan,"Mediterranean Forests, Woodlands & Scrub",12.0,5.531817757113037E7
JOR,Jordan,Deserts & Xeric Shrublands,13.0,1.2023935347559063E9
KGZ,Kyrgyzstan,"Temperate Grasslands, Savannas & Shrublands",8.0,4.278332311105096E10
KGZ,Kyrgyzstan,Montane Grasslands & Shrublands,10.0,2.9552160873219425E10
KGZ,Kyrgyzstan,Temperate Conifer Forests,5.0,3.274372813882183E9
KGZ,Kyrgyzstan,Deserts & Xeric Shrublands,13.0,1633678.4885328107
OMN,Oman,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,7.44981060570427E7
OMN,Oman,Deserts & Xeric Shrublands,13.0,3.7346479311431174E9
OMN,Oman,"Temperate Grasslands, Savannas & Shrublands",8.0,3.855357646841325E7
PSE,Palestina,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
PSE,Palestina,Deserts & Xeric Shrublands,13.0,0.0
SAU,Saudi Arabia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
SAU,Saudi Arabia,Deserts & Xeric Shrublands,13.0,7.249756177334061E9
SAU,Saudi Arabia,"Mediterranean Forests, Woodlands & Scrub",12.0,0.0
SYR,Syria,"Temperate Grasslands, Savannas & Shrublands",8.0,1.9332839002488693E10
SYR,Syria,"Mediterranean Forests, Woodlands & Scrub",12.0,2.7697448146704574E9
SYR,Syria,Deserts & Xeric Shrublands,13.0,1.7944058932012676E10
TUR,Turkey,Temperate Broadleaf & Mixed Forests,4.0,1.8854230591127567E10
TUR,Turkey,Temperate Conifer Forests,5.0,5.911711268232467E9
TUR,Turkey,"Temperate Grasslands, Savannas & Shrublands",8.0,8.356204464679067E9
TUR,Turkey,"Mediterranean Forests, Woodlands & Scrub",12.0,3.8212140929322534E9
YEM,Yemen,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,1.865447546645824E10
YEM,Yemen,Deserts & Xeric Shrublands,13.0,1.3042409787696324E11
IOT,British Indian Ocean Territory,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
MDV,Maldives,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
AFG,Afghanistan,Montane Grasslands & Shrublands,10.0,5.3326347881634056E10
AFG,Afghanistan,Deserts & Xeric Shrublands,13.0,1.8222960246861935E11
AFG,Afghanistan,Temperate Conifer Forests,5.0,6.737023513679881E9
AFG,Afghanistan,"Temperate Grasslands, Savannas & Shrublands",8.0,2.66297894466746E9
BGD,Bangladesh,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
BGD,Bangladesh,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
BTN,Bhutan,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
BTN,Bhutan,Tropical & Subtropical Coniferous Forests,3.0,0.0
BTN,Bhutan,Temperate Broadleaf & Mixed Forests,4.0,9609.146224676395
BTN,Bhutan,Temperate Conifer Forests,5.0,9.655860772601344E7
BTN,Bhutan,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
BTN,Bhutan,Montane Grasslands & Shrublands,10.0,1.632871565949044E9
IND,India,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.0605308574456787E8
IND,India,Tropical & Subtropical Dry Broadleaf Forests,2.0,5.1242528201660156E7
IND,India,Deserts & Xeric Shrublands,13.0,1.763499044357896E8
IND,India,Tropical & Subtropical Coniferous Forests,3.0,9.667644416843598E8
IND,India,Temperate Broadleaf & Mixed Forests,4.0,2.2759563722991633E9
IND,India,Temperate Conifer Forests,5.0,7.971232085736828E8
IND,India,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
IND,India,Montane Grasslands & Shrublands,10.0,3.879506390157472E9
IRN,Iran,Temperate Broadleaf & Mixed Forests,4.0,1.5022684752261786E11
IRN,Iran,Temperate Conifer Forests,5.0,3.128527839270239E10
IRN,Iran,"Temperate Grasslands, Savannas & Shrublands",8.0,1.7225080365324776E10
IRN,Iran,Deserts & Xeric Shrublands,13.0,1.7935304072311575E11
IRN,Iran,Montane Grasslands & Shrublands,10.0,3.942047629849684E10
LKA,Sri Lanka,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
LKA,Sri Lanka,Tropical & Subtropical Dry Broadleaf Forests,2.0,0.0
LKA,Sri Lanka,Deserts & Xeric Shrublands,13.0,1.1260776064819336E7
NPL,Nepal,Tropical & Subtropical Moist Broadleaf Forests,1.0,4.233373227401033E7
NPL,Nepal,Tropical & Subtropical Coniferous Forests,3.0,3.480312660277602E7
NPL,Nepal,Temperate Broadleaf & Mixed Forests,4.0,2.6446229097582114E8
NPL,Nepal,Temperate Conifer Forests,5.0,4.6680085312315196E7
NPL,Nepal,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
NPL,Nepal,Montane Grasslands & Shrublands,10.0,1.455891330359311E8
PAK,Pakistan,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
PAK,Pakistan,Temperate Conifer Forests,5.0,8.956235146240313E7
PAK,Pakistan,Montane Grasslands & Shrublands,10.0,1.1014039145968802E9
PAK,Pakistan,Deserts & Xeric Shrublands,13.0,8.211341129689025E9
PAK,Pakistan,Tropical & Subtropical Coniferous Forests,3.0,0.0
PAK,Pakistan,Temperate Broadleaf & Mixed Forests,4.0,0.0
CXR,Christmas Island,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
CCK,Cocos Islands,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
TLS,East Timor,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.0870935185362095E8
BRN,Brunei,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
SGP,Singapore,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
S--,Spratly islands,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
P--,Paracel Islands,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
IDN,Indonesia,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.0507261323513782E8
IDN,Indonesia,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.2174528993286798E9
IDN,Indonesia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
IDN,Indonesia,Montane Grasslands & Shrublands,10.0,4.9215037140697315E7
IDN,Indonesia,Tropical & Subtropical Coniferous Forests,3.0,3566.7378540039062
KHM,Cambodia,Tropical & Subtropical Moist Broadleaf Forests,1.0,3596107.237548828
KHM,Cambodia,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.4576715360784912E8
LAO,Laos,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.7013391049920056E7
LAO,Laos,Tropical & Subtropical Dry Broadleaf Forests,2.0,0.0
MMR,Myanmar,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
MMR,Myanmar,Tropical & Subtropical Coniferous Forests,3.0,0.0
MMR,Myanmar,Tropical & Subtropical Dry Broadleaf Forests,2.0,0.0
MMR,Myanmar,Temperate Broadleaf & Mixed Forests,4.0,0.0
MMR,Myanmar,Temperate Conifer Forests,5.0,0.0
MMR,Myanmar,Montane Grasslands & Shrublands,10.0,0.0
MYS,Malaysia,Tropical & Subtropical Moist Broadleaf Forests,1.0,5.9360818347717285E7
MYS,Malaysia,Montane Grasslands & Shrublands,10.0,0.0
MYS,Malaysia,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
MYS,Malaysia,Montane Grasslands & Shrublands,10.0,0.0
PHL,Philippines,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
PHL,Philippines,Tropical & Subtropical Coniferous Forests,3.0,0.0
THA,Thailand,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
THA,Thailand,Tropical & Subtropical Dry Broadleaf Forests,2.0,0.0
VNM,Vietnam,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.743064995410707E7
VNM,Vietnam,Tropical & Subtropical Dry Broadleaf Forests,2.0,0.0
GNQ,Equatorial Guinea,Tropical & Subtropical Moist Broadleaf Forests,1.0,20555.564086914062
STP,Sao Tome and Principe,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
AGO,Angola,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
AGO,Angola,Tropical & Subtropical Dry Broadleaf Forests,2.0,7.283430555375138E7
AGO,Angola,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,1.7372377565916046E11
AGO,Angola,Montane Grasslands & Shrublands,10.0,2.892869627693336E9
AGO,Angola,Deserts & Xeric Shrublands,13.0,3.482248509666847E10
