"","id","name","institution","countryExpertise","continent","biome","repTree","CBP1","CBP2","CBP3","CBP4","CBP5","CBP6","CBP7","CBP8","CBP9","CBN1","CBN2","CBN3","CBN4","CBN5","CBN6","CBN7","CBN8","CBN9","CFP1","CFP2","CFP3","CFP4","CFP5","CFP6","CFP7","CFP8","CFP9","CFN1","CFN2","CFN3","CFN4","CFN5","CFN6","CFN7","CFN8","CFN9","WBP1","WBP2","WBP3","WBP4","WBP5","WBP6","WBP7","WBP8","WBP9","WBN1","WBN2","WBN3","WBN4","WBN5","WBN6","WBN7","WBN8","WBN9","WFP1","WFP2","WFP3","WFP4","WFP5","WFP6","WFP7","WFP8","WFP9","WFN1","WFN2","WFN3","WFN4","WFN5","WFN6","WFN7","WFN8","WFN9","SBP1","SBP2","SBP3","SBP4","SBP5","SBP6","SBP7","SBP8","SBP9","SBN1","SBN2","SBN3","SBN4","SBN5","SBN6","SBN7","SBN8","SBN9","SFP1","SFP2","SFP3","SFP4","SFP5","SFP6","SFP7","SFP8","SFP9","SFN1","SFN2","SFN3","SFN4","SFN5","SFN6","SFN7","SFN8","SFN9","A1","A2","A3","A4","A5","A6","AN1","AN2","AN3","AN4","AN5","AN6"
"1",4,"Dennis Garrity","ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","1","2","3","4","5","6","7","9",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","8","9",NA,NA,"6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6",NA,NA,NA,NA,NA,NA
"2",5,"Alain Ndoli","International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","3","1","5","2","4","6",NA,NA,NA,"7","8","9",NA,NA,NA,NA,NA,NA,"1","3","4","2","5",NA,NA,NA,NA,"6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","5","1","6","3",NA,NA,NA,NA,NA,NA
"3",8,"Huasen Xu","Hebei Agricultural University","China","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","3","7","9","2","8",NA,NA,NA,NA,"6","4","1",NA,NA,NA,NA,NA,NA,"1","8",NA,NA,NA,NA,NA,NA,NA,"3","2","5","4","6","7","9",NA,NA,"3","7","9","2",NA,NA,NA,NA,NA,"4","1","6","8",NA,NA,NA,NA,NA,"1","2","3",NA,NA,NA,NA,NA,NA,"5","7","4","6","8","9",NA,NA,NA,"3","7","9","2",NA,NA,NA,NA,NA,"4","1","6","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",10,"Eduardo Somarriba","CATIE","Latin America and the Caribbean","North/Central America (includes Caribbean)","Tropical & Subtropical Moist Broadleaf Forests","Cordia alliodora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","2","4","9","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","1","2","3","4","5","6","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","5","4","6","1","2"
"5",11,"Paramu Mafongoya","University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Other",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6","7","8","9","3","4","1",NA,NA,NA,NA,NA,NA,"8","2","5","6","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,"1","2","3","4","5","6"
"6",14,"Amit Kumar","Forest Research Institute Dehradun ","India ","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","5","4","1","6","3","8","7",NA,NA,"2","9",NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2","1","5","6",NA,NA,NA,"7","8","9",NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6","7",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","5","3","6",NA,"4",NA,NA,NA,NA,NA
"7",15,"AthanaseMukuralinda ","CIFOR-ICRAF","Rwanda ","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","5","4","3","2","1",NA,NA,NA,NA,"6","7","8","9",NA,NA,NA,NA,NA,"9","8","7","6","5","4","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","8","7","6","5","4","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","8","7","6","5","4","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","4","3","2","1",NA,NA,NA,NA,NA,NA
"8",16,"Tesfaye Shiferaw Sida","CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","4","5","6","9","1","2","3","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","8","5","9",NA,NA,NA,NA,"1","2","6","7",NA,NA,NA,NA,NA,"4","5","6","9",NA,NA,NA,NA,NA,"1","2","3","7","8",NA,NA,NA,NA,"3","4","5","8",NA,NA,NA,NA,NA,"1","2","6","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6",NA,NA,NA,NA,NA,NA
"9",21,"Andy Gordon","University of Guelph","Canada/other temperate countries","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","1","2","3","4","5","6","7",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","5","6","8","7","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","4","5","6","7","2","8","9","1","2","3","4","5","6",NA,NA,NA,"7","8","9",NA,NA,NA,NA,NA,NA,"3","1","4","5","6","7","2",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6",NA,NA,NA,"7","8","9",NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6",NA,NA,NA,NA,NA,NA
"10",22,"Alain Cogliastro","IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","4","5","6","2","8","3","7",NA,NA,"1","9",NA,NA,NA,NA,NA,NA,NA,"3","4","5","2","1","6","7","8",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","6","5","2","1","4",NA,NA,NA,NA,NA,NA
